track_id,track_name,artist,album,genre,duration_ms,popularity,danceability,energy,tempo,release_date,streams
TRK00001,Neon Stars,Taylor Swift,Album 27,Rock,195719,23,0.006,0.444,171.1,2023-01-19,18342071
TRK00002,Bright Dreams,Ed Sheeran,Album 33,Indie,212121,28,0.903,0.889,106.1,2024-07-16,264598
TRK00003,Lost Nights,Drake,Album 29,Indie,153200,84,0.561,0.031,173.6,2016-09-09,30375584
TRK00004,Dark Dreams,Maroon 5,Album 46,Pop,152600,65,0.161,0.126,115.8,2018-01-30,47107386
TRK00005,Wild Echoes,BTS,Album 31,Latin,310592,67,0.645,0.046,193.8,2022-01-27,3181786
TRK00006,Midnight Stars,Maroon 5,Album 41,Rock,171749,52,0.232,0.827,193.4,2019-10-13,14373449
TRK00007,Silent Hearts,Doja Cat,Album 44,Electronic,289333,92,0.08,0.45,96.7,2015-07-29,32061642
TRK00008,Endless Dreams,Dua Lipa,Album 46,Country,175858,79,0.409,0.427,79.2,2015-08-28,41841586
TRK00009,Electric Hearts,Olivia Rodrigo,Album 44,Latin,289687,63,0.952,0.092,117.4,2016-09-08,12021690
TRK00010,Lost Dreams,Olivia Rodrigo,Album 32,Indie,183850,44,0.3,0.034,155.4,2016-10-21,27146774
TRK00011,Neon Love,Kendrick Lamar,Album 47,Electronic,268875,72,0.313,0.712,104.5,2017-05-03,29081100
TRK00012,Neon Love,Justin Bieber,Album 3,Country,272882,42,0.84,0.922,72.7,2021-05-28,46066361
TRK00013,Dark Shadows,The Weeknd,Album 20,R&B,295323,62,0.347,0.386,119.8,2016-05-22,49954934
TRK00014,Electric Shadows,Maroon 5,Album 12,Electronic,271445,18,0.187,0.808,151.5,2018-08-17,4752845
TRK00015,Golden Dreams,Ed Sheeran,Album 17,Electronic,319057,46,0.03,0.809,179.9,2017-05-13,27696295
TRK00016,Silent Shadows,Post Malone,Album 38,Country,277872,81,0.236,0.938,83.8,2018-05-24,37015930
TRK00017,Wild Love,SZA,Album 7,Indie,199427,56,0.911,0.958,73.7,2023-07-24,38053461
TRK00018,Endless Stars,Coldplay,Album 4,Rock,175092,43,0.425,0.621,176.0,2023-02-09,29296797
TRK00019,Endless Nights,Coldplay,Album 9,Electronic,185402,65,0.304,0.611,140.7,2022-02-01,34570935
TRK00020,Dark Love,Billie Eilish,Album 39,Country,121087,4,0.133,0.372,66.1,2020-04-28,11489967
TRK00021,Neon Memories,Coldplay,Album 1,R&B,207658,28,0.649,0.254,180.7,2020-01-18,24916161
TRK00022,Midnight Love,Olivia Rodrigo,Album 40,Rock,281842,22,0.0,0.173,193.5,2018-10-06,43639961
TRK00023,Lost Memories,Bad Bunny,Album 12,R&B,295846,11,0.156,0.811,62.9,2019-07-01,44114526
TRK00024,Silent Hearts,Billie Eilish,Album 36,Rock,272091,47,0.419,0.818,82.7,2024-11-11,48920853
TRK00025,Silent Rain,Bad Bunny,Album 20,Hip-Hop,142674,68,0.295,0.848,72.4,2015-06-12,23459779
TRK00026,Lost Rain,Ariana Grande,Album 16,Rock,295531,22,0.656,0.989,82.5,2020-08-31,19692349
TRK00027,Golden Memories,SZA,Album 20,Hip-Hop,168550,14,0.872,0.047,83.8,2017-03-03,12545568
TRK00028,Golden Stars,Maroon 5,Album 36,Latin,139835,67,0.502,0.134,156.0,2017-11-12,38112679
TRK00029,Midnight Echoes,Olivia Rodrigo,Album 8,Indie,271621,76,0.289,0.551,83.7,2015-03-07,48337829
TRK00030,Bright Dreams,The Weeknd,Album 43,Electronic,183317,5,0.132,0.12,148.5,2019-09-05,24995449
TRK00031,Neon Memories,Imagine Dragons,Album 1,R&B,186254,94,0.35,0.525,171.5,2017-08-30,40037921
TRK00032,Midnight Hearts,Harry Styles,Album 39,R&B,241169,84,0.197,0.831,86.2,2016-10-15,15090890
TRK00033,Wild Love,Bad Bunny,Album 33,Pop,305325,25,0.329,0.06,165.6,2016-02-22,36043582
TRK00034,Lost Nights,Ed Sheeran,Album 48,Country,299438,2,0.799,0.552,185.5,2017-05-13,45876790
TRK00035,Endless Memories,Justin Bieber,Album 24,Electronic,282448,24,0.246,0.643,102.8,2020-03-12,21105660
TRK00036,Golden Shadows,Olivia Rodrigo,Album 20,Electronic,199770,84,0.372,0.035,161.8,2018-11-20,45301712
TRK00037,Midnight Rain,Taylor Swift,Album 15,Latin,323302,51,0.93,0.551,181.0,2017-02-05,44993939
TRK00038,Endless Memories,SZA,Album 44,Pop,353128,87,0.151,0.823,65.7,2017-01-15,23386245
TRK00039,Wild Hearts,Bad Bunny,Album 17,R&B,289046,57,0.421,0.413,162.3,2018-07-03,14777780
