sale_id,store_id,region,product_name,category,quantity,unit_price,sale_date,customer_age_group
1,Store_028,East,Yogurt,Dairy,2,2.49,2024-09-09,46-55
2,Store_002,East,Apple,Produce,2,0.79,2024-10-25,26-35
3,Store_048,East,Pork,Meat,1,7.99,2024-06-23,46-55
4,Store_028,West,Croissant,Bakery,2,1.99,2024-06-12,36-45
5,Store_013,North,Milk,Dairy,2,3.99,2023-10-05,18-25
6,Store_022,East,Rice,Pantry,3,2.99,2024-11-17,26-35
7,Store_043,West,Yogurt,Dairy,2,2.49,2024-11-20,18-25
8,Store_028,East,Chicken,Meat,14,8.99,2023-06-28,26-35
9,Store_033,South,Apple,Produce,2,0.79,2023-05-20,26-35
10,Store_023,West,Cereal,Pantry,16,4.49,2023-02-06,56+
11,Store_044,Central,Tuna,Seafood,11,9.99,2024-01-02,36-45
12,Store_002,West,Bagel,Bakery,2,0.99,2024-08-01,36-45
13,Store_037,East,Apple,Produce,18,0.79,2024-03-15,36-45
14,Store_009,Central,Tuna,Seafood,11,9.99,2024-04-24,36-45
15,Store_050,North,Soda,Beverages,14,1.99,2024-04-06,26-35
16,Store_013,North,Milk,Dairy,5,3.99,2023-07-25,36-45
17,Store_014,South,Cheese,Dairy,17,5.99,2023-03-02,26-35
18,Store_015,North,Rice,Pantry,17,2.99,2024-08-18,36-45
19,Store_036,South,Pork,Meat,5,7.99,2023-07-20,36-45
20,Store_019,East,Shrimp,Seafood,15,11.99,2023-02-05,36-45
21,Store_024,West,Bagel,Bakery,1,0.99,2024-05-08,46-55
22,Store_040,East,Bagel,Bakery,20,0.99,2024-02-17,56+
23,Store_022,Central,Shrimp,Seafood,1,11.99,2023-03-10,56+
24,Store_005,Central,Pasta,Pantry,17,1.49,2023-06-18,46-55
25,Store_001,North,Yogurt,Dairy,5,2.49,2023-03-29,36-45
26,Store_012,Central,Yogurt,Dairy,5,2.49,2023-02-09,46-55
27,Store_012,Central,Pork,Meat,18,7.99,2023-07-12,26-35
28,Store_006,Central,Juice,Beverages,7,3.49,2023-08-22,46-55
29,Store_034,North,Juice,Beverages,19,3.49,2023-06-16,36-45
30,Store_020,South,Cheese,Dairy,3,5.99,2023-02-23,36-45
31,Store_010,East,Rice,Pantry,3,2.99,2023-05-13,18-25
32,Store_047,Central,Rice,Pantry,6,2.99,2024-06-11,46-55
33,Store_015,South,Pork,Meat,14,7.99,2023-07-31,26-35
34,Store_029,South,Pasta,Pantry,9,1.49,2023-08-27,46-55
35,Store_010,Central,Yogurt,Dairy,7,2.49,2023-10-19,46-55
36,Store_046,West,Shrimp,Seafood,8,11.99,2024-10-29,46-55
37,Store_025,West,Chicken,Meat,1,8.99,2023-06-12,
38,Store_023,East,Rice,Pantry,9,2.99,2023-05-03,26-35
39,Store_044,East,Tuna,Seafood,12,9.99,2024-08-21,18-25
40,Store_048,East,Bread,Bakery,14,2.99,2023-01-26,18-25
41,Store_046,South,Soda,Beverages,20,1.99,2024-09-30,36-45
42,Store_007,South,Apple,Produce,1,0.79,2023-02-15,18-25
43,Store_004,North,Soda,Beverages,8,1.99,2024-12-15,26-35
44,Store_033,Central,Chicken,Meat,7,8.99,2024-09-20,26-35
45,Store_032,North,Beef,Meat,16,12.99,2024-05-28,18-25
46,Store_019,Central,Pasta,Pantry,16,1.49,2023-06-26,46-55
47,Store_049,West,Yogurt,Dairy,11,2.49,2024-08-21,56+
48,Store_034,North,Rice,Pantry,10,2.99,2023-11-11,36-45
49,Store_049,West,Banana,Produce,1,0.29,2023-12-10,36-45
50,Store_050,North,Water,Beverages,10,0.99,2024-08-29,18-25
51,Store_006,West,Rice,Pantry,2,2.99,2024-01-19,18-25
52,Store_017,South,Milk,Dairy,5,3.99,2023-05-27,18-25
53,Store_018,South,Cheese,Dairy,4,5.99,2023-10-11,26-35
54,Store_040,East,Beef,Meat,18,12.99,2023-01-16,18-25
55,Store_041,South,Rice,Pantry,2,2.99,2023-11-18,18-25
56,Store_040,East,Beef,Meat,7,12.99,2023-10-17,56+
57,Store_021,East,Bread,Bakery,7,2.99,2023-08-03,46-55
58,Store_011,North,Soda,Beverages,19,1.99,2023-06-03,26-35
59,Store_017,North,Croissant,Bakery,15,1.99,2023-01-15,26-35
60,Store_015,East,Salmon,Seafood,14,14.99,2023-09-15,46-55
61,Store_022,North,Salmon,Seafood,17,14.99,2023-04-12,26-35
62,Store_036,Central,Pork,Meat,2,7.99,2024-07-13,36-45
